Mary3
AMY-704:	oh wait .
AMY-705:	I know I got an idea (.) we'll just thaw my bread out .
RAL-706:	here (.) take it [/] this plate .
AMY-707:	I'm doing fine .
AMY-708:	I'm just going to eat right here .
RAL-709:	we'll you don't want to eat off there .
RAL-710:	because I'm going to eat off one of these anyway .
RAL-711:	everybody grab one (0.5) .
FRE-712:	well .
MAR-713:	uhhuh .
MAR-714:	xxx .
RAL-715:	how did I end up with four ?
FRE-716:	pieces of bread .
AMY-717:	oh, Dad, one of them's .
MAR-718:	hahaha (0.3) .
MAR-719:	that was pretty funny .
MAR-720:	hey yeh .
MAR-721:	I mean we've got bread here with the peanut butter and jelly .
PAT-722:	⁎ouch⁎ xxx (10.) .
MAR-723:	what sandwich ?
PAT-724:	A⁎m⁎y don't throw it away .
PAT-725:	put it on top of the [/] this thing here .
PAT-726:	and uh +...
AMY-727:	did you hear it ?
MAR-728:	uhuh .
AMY-729:	are you okay Mom ?
AMY-730:	did you burn yourself bad ?
PAT-731:	all right [/] all right (.) yeah .
PAT-732:	I burned myself .
MAR-733:	where's the ice (0.6) ?
RAL-734:	do you want some ice (0.2) ?
AMY-735:	come on, put some ice on it so it doesn't (0.3) +...
AMY-736:	++ so it doesn't blister ⁎up⁎ .
RAL-737:	did you put some ham in your sandwich ?
RAL-738:	did you put ham in your sandwich ?
RAL-739:	you were supposed to .
RAL-740:	that's what it's all there for .
AMY-741:	it is not there .
MAR-742:	yes it ⁎is⁎ .
RAL-743:	the ham right there .
MAR-744:	put that on the sandwich ?
RAL-745:	your mother decided that we would have ham and cheese .
MAR-746:	what do you do ?
MAR-747:	just cut it in the half ?
RAL-748:	well, you're supposed to take the whole thing and put it in your sandwich .
PAT-749:	where are the forks ?
MAR-750:	I didn't put forks on (0.6) .
PAT-751:	xxx kitchen xxx .
AMY-752:	I had nothing to do with dinner (0.6) .
MAR-753:	I didn't think of cutting it before .
PAT-754:	it's kinda hard to (.) clean and make meals (0.4) .
PAT-755:	and then I'm as slow as molasses at the cleaning .
PAT-756:	cause didn't feel like doing it .
MAR-757:	nobody feels like cleaning .
PAT-758:	no, but sometimes you have the ambition for doing it .
AMY-759:	could you put that back .
RAL-760:	I was wondering where it went .
RAL-761:	I thought she cut it in the half .
RAL-762:	there's a whole one and a half on her thing .
RAL-763:	and I didn't see the other one .
AMY-764:	the half was on the floor, under the table .
PAT-765:	that was all I had (0.4) was four slices (0.2) .
AMY-766:	sure Brad'll just take mine .
PAT-767:	<laughing> .
RAL-768:	<laughing> .
